izn          menc_Msun       radius_cm         tau3keV         tau6keV         tau1keV         tau2keV         tau5keV        tau10keV        tau20keV        tau50keV       tau100keV       tau200keV       tau500keV       tau847keV      tau1000keV      tau1238keV      tau2000keV
68        6.060591e-01    3.099600e+15    2.660213e-01    4.648563e-01    6.602381e-02    1.733373e-01    4.067323e-01    6.371508e-01    8.424972e-01    9.474608e-01    8.909442e-01    7.565416e-01    5.449875e-01    4.318773e-01    3.991700e-01    3.586493e-01    2.768690e-01
69        6.222196e-01    3.142800e+15    2.589416e-01    4.516854e-01    6.420029e-02    1.687289e-01    3.954605e-01    6.182071e-01    8.163409e-01    9.168732e-01    8.617025e-01    7.314904e-01    5.268638e-01    4.175028e-01    3.858823e-01    3.467083e-01    2.676488e-01
70        6.377325e-01    3.214512e+15    2.500690e-01    4.351723e-01    6.191563e-02    1.629548e-01    3.813295e-01    5.944541e-01    7.835417e-01    8.785130e-01    8.250286e-01    7.000712e-01    5.041327e-01    3.994741e-01    3.692165e-01    3.317316e-01    2.560846e-01
71        6.531381e-01    3.266352e+15    2.418640e-01    4.198947e-01    5.980350e-02    1.576164e-01    3.682570e-01    5.724766e-01    7.531917e-01    8.430136e-01    7.910881e-01    6.709928e-01    4.830947e-01    3.827882e-01    3.537920e-01    3.178705e-01    2.453817e-01
72        6.684412e-01    3.334176e+15    2.340283e-01    4.052993e-01    5.778703e-02    1.525194e-01    3.557689e-01    5.514791e-01    7.241934e-01    8.090925e-01    7.586554e-01    6.432056e-01    4.629907e-01    3.668430e-01    3.390522e-01    3.046245e-01    2.351538e-01
73        6.841289e-01    3.389904e+15    2.265285e-01    3.913248e-01    5.585754e-02    1.476419e-01    3.438128e-01    5.313742e-01    6.964269e-01    7.766102e-01    7.275976e-01    6.165958e-01    4.437383e-01    3.515733e-01    3.249368e-01    2.919397e-01    2.253593e-01
74        6.991308e-01    3.457296e+15    2.191229e-01    3.775221e-01    5.395279e-02    1.428264e-01    3.320041e-01    5.115162e-01    6.690009e-01    7.445250e-01    6.969188e-01    5.903103e-01    4.247204e-01    3.364895e-01    3.109933e-01    2.794093e-01    2.156839e-01
75        7.148173e-01    3.516048e+15    2.122954e-01    3.647941e-01    5.219722e-02    1.383876e-01    3.211152e-01    4.932044e-01    6.437103e-01    7.149369e-01    6.686273e-01    5.660700e-01    4.071821e-01    3.225792e-01    2.981346e-01    2.678538e-01    2.067613e-01
76        7.296348e-01    3.577824e+15    2.053935e-01    3.519288e-01    5.042618e-02    1.339040e-01    3.101056e-01    4.747123e-01    6.181903e-01    6.850967e-01    6.401008e-01    5.416305e-01    3.895004e-01    3.085553e-01    2.851708e-01    2.562040e-01    1.977659e-01
77        7.384454e-01    3.628368e+15    1.990942e-01    3.401850e-01    4.881016e-02    1.298124e-01    3.000558e-01    4.578328e-01    5.948964e-01    6.578596e-01    6.140627e-01    5.193229e-01    3.733610e-01    2.957546e-01    2.733378e-01    2.455703e-01    1.895551e-01
78        7.471127e-01    3.666384e+15    1.954644e-01    3.334174e-01    4.787918e-02    1.274550e-01    2.942644e-01    4.481060e-01    5.814739e-01    6.421649e-01    5.990590e-01    5.064687e-01    3.640611e-01    2.883786e-01    2.665194e-01    2.394429e-01    1.848238e-01
79        7.557563e-01    3.699216e+15    1.919801e-01    3.269205e-01    4.698558e-02    1.251922e-01    2.887048e-01    4.387684e-01    5.685883e-01    6.270980e-01    5.846554e-01    4.941287e-01    3.551332e-01    2.812975e-01    2.599737e-01    2.335605e-01    1.802818e-01
80        7.645501e-01    3.740688e+15    1.885725e-01    3.205663e-01    4.611166e-02    1.229792e-01    2.832672e-01    4.296353e-01    5.559847e-01    6.123604e-01    5.705664e-01    4.820581e-01    3.464001e-01    2.743710e-01    2.535708e-01    2.278066e-01    1.758389e-01
81        7.732437e-01    3.769200e+15    1.851765e-01    3.142329e-01    4.524052e-02    1.207737e-01    2.778479e-01    4.205310e-01    5.434191e-01    5.976658e-01    5.565180e-01    4.700220e-01    3.376920e-01    2.674643e-01    2.471862e-01    2.220691e-01    1.714087e-01
82        7.818658e-01    3.813696e+15    1.818855e-01    3.080941e-01    4.439579e-02    1.186360e-01    2.725958e-01    4.117033e-01    5.312316e-01    5.834102e-01    5.428880e-01    4.583438e-01    3.292427e-01    2.607628e-01    2.409913e-01    2.165021e-01    1.671101e-01
83        7.899225e-01    3.844800e+15    1.786920e-01    3.021351e-01    4.357500e-02    1.165606e-01    2.674988e-01    4.031278e-01    5.193852e-01    5.695472e-01    5.296310e-01    4.469844e-01    3.210236e-01    2.542439e-01    2.349652e-01    2.110867e-01    1.629286e-01
84        7.985691e-01    3.884544e+15    1.757791e-01    2.966965e-01    4.282454e-02    1.146661e-01    2.628491e-01    3.952913e-01    5.085479e-01    5.568548e-01    5.174896e-01    4.365793e-01    3.134946e-01    2.482722e-01    2.294450e-01    2.061259e-01    1.590981e-01
85        8.079366e-01    3.921264e+15    1.727209e-01    2.909851e-01    4.203466e-02    1.126752e-01    2.579680e-01    3.870519e-01    4.971425e-01    5.434880e-01    5.046995e-01    4.256170e-01    3.055619e-01    2.419803e-01    2.236287e-01    2.008990e-01    1.550621e-01
86        8.179097e-01    3.961008e+15    1.694274e-01    2.848696e-01    4.118321e-02    1.105272e-01    2.527341e-01    3.782499e-01    4.849828e-01    5.292662e-01    4.911030e-01    4.139693e-01    2.971354e-01    2.352971e-01    2.174507e-01    1.953472e-01    1.507753e-01
87        8.273126e-01    4.004208e+15    1.659461e-01    2.784383e-01    4.028246e-02    1.082530e-01    2.472228e-01    3.690127e-01    4.722452e-01    5.143958e-01    4.768975e-01    4.018055e-01    2.883375e-01    2.283196e-01    2.110007e-01    1.895510e-01    1.462999e-01
88        8.367806e-01    4.037040e+15    1.626867e-01    2.724515e-01    3.943832e-02    1.061198e-01    2.420850e-01    3.604339e-01    4.604400e-01    5.006432e-01    4.637715e-01    3.905718e-01    2.802145e-01    2.218777e-01    2.050459e-01    1.841999e-01    1.421681e-01
89        8.461851e-01    4.081104e+15    1.594151e-01    2.664811e-01    3.859016e-02    1.039743e-01    2.369529e-01    3.519015e-01    4.487265e-01    4.870300e-01    4.507918e-01    3.794700e-01    2.721893e-01    2.155137e-01    1.991632e-01    1.789136e-01    1.380865e-01
90        8.550618e-01    4.119120e+15    1.561657e-01    2.605966e-01    3.774672e-02    1.018383e-01    2.318847e-01    3.435186e-01    4.372509e-01    4.737323e-01    4.381287e-01    3.686469e-01    2.643683e-01    2.093122e-01    1.934308e-01    1.737624e-01    1.341093e-01
91        8.648939e-01    4.159728e+15    1.530923e-01    2.550799e-01    3.694784e-02    9.981242e-02    2.271226e-01    3.356890e-01    4.265687e-01    4.613968e-01    4.263992e-01    3.586304e-01    2.571334e-01    2.035759e-01    1.881284e-01    1.689977e-01    1.304306e-01
92        8.737440e-01    4.199040e+15    1.496661e-01    2.489916e-01    3.605586e-02    9.754707e-02    2.218533e-01    3.270850e-01    4.148755e-01    4.479480e-01    4.136333e-01    3.477401e-01    2.492715e-01    1.973431e-01    1.823671e-01    1.638209e-01    1.264338e-01
93        8.896015e-01    4.243104e+15    1.465751e-01    2.435447e-01    3.525012e-02    9.549824e-02    2.171289e-01    3.194150e-01    4.044860e-01    4.360398e-01    4.023465e-01    3.381200e-01    2.423296e-01    1.918401e-01    1.772806e-01    1.592504e-01    1.229052e-01
94        9.046597e-01    4.313952e+15    1.408994e-01    2.337101e-01    3.376677e-02    9.171720e-02    2.085612e-01    3.056694e-01    3.859938e-01    4.149974e-01    3.824651e-01    3.212061e-01    2.301360e-01    1.821760e-01    1.683481e-01    1.512244e-01    1.167092e-01
95        9.206303e-01    4.376160e+15    1.353947e-01    2.243406e-01    3.232432e-02    8.803122e-02    2.003599e-01    2.926785e-01    3.686479e-01    3.954182e-01    3.640318e-01    3.055573e-01    2.188666e-01    1.732462e-01    1.600947e-01    1.438089e-01    1.109848e-01
96        9.361180e-01    4.440960e+15    1.294241e-01    2.143700e-01    3.075538e-02    8.401160e-02    1.915877e-01    2.789758e-01    3.505052e-01    3.751267e-01    3.450060e-01    2.894452e-01    2.072780e-01    1.640658e-01    1.516100e-01    1.361861e-01    1.051008e-01
