# Energy(keV) Counts
1.607748e+00 2.303476e+06
1.609082e+00 2.298736e+06
1.610417e+00 2.297199e+06
1.611753e+00 2.453755e+07
1.613091e+00 1.448766e+07
1.614429e+00 2.291853e+06
1.615769e+00 2.612547e+06
1.617109e+00 2.930498e+06
1.618451e+00 2.283897e+06
1.619794e+00 2.282037e+06
1.621138e+00 2.280482e+06
1.622483e+00 2.277631e+06
1.623830e+00 2.274731e+06
1.625177e+00 2.271894e+06
1.626525e+00 2.270227e+06
1.627875e+00 2.270596e+06
1.629226e+00 2.268685e+06
1.630578e+00 2.265082e+06
1.631931e+00 2.262054e+06
1.633285e+00 2.258314e+06
1.634640e+00 2.260314e+06
1.635996e+00 2.255666e+06
1.637354e+00 2.253422e+06
1.638712e+00 2.252211e+06
1.640072e+00 2.250080e+06
1.641433e+00 2.248714e+06
1.642795e+00 2.242701e+06
1.644158e+00 2.245926e+06
1.645522e+00 2.245395e+06
1.646888e+00 2.248740e+06
1.648254e+00 2.234744e+06
1.649622e+00 2.234528e+06
1.650990e+00 2.232006e+06
1.652360e+00 2.231493e+06
1.653731e+00 2.227377e+06
1.655104e+00 2.226480e+06
1.656477e+00 2.224902e+06
1.657851e+00 2.219507e+06
1.659227e+00 2.219497e+06
1.660604e+00 2.216330e+06
1.661982e+00 2.215898e+06
1.663361e+00 3.061720e+06
1.664741e+00 2.209293e+06
1.666122e+00 2.208513e+06
1.667505e+00 2.233592e+06
1.668888e+00 2.202758e+06
1.670273e+00 2.550477e+06
1.671659e+00 2.202693e+06
1.673046e+00 2.199046e+06
1.674434e+00 2.198480e+06
1.675823e+00 2.195737e+06
1.677214e+00 2.192003e+06
1.678606e+00 2.188682e+06
1.679998e+00 2.188474e+06
1.681392e+00 2.187387e+06
1.682788e+00 2.183229e+06
1.684184e+00 2.183490e+06
1.685581e+00 2.179507e+06
1.686980e+00 2.176201e+06
1.688380e+00 2.175214e+06
1.689781e+00 2.172103e+06
1.691183e+00 2.172394e+06
1.692586e+00 2.168161e+06
1.693990e+00 2.167102e+06
1.695396e+00 2.167476e+06
1.696803e+00 2.162144e+06
1.698211e+00 2.159862e+06
1.699620e+00 2.157098e+06
1.701030e+00 2.156586e+06
1.702441e+00 2.152994e+06
1.703854e+00 2.167157e+06
1.705268e+00 2.149840e+06
1.706683e+00 3.455643e+06
1.708099e+00 2.145680e+06
1.709516e+00 2.146188e+06
1.710935e+00 2.144837e+06
1.712354e+00 2.157731e+06
1.713775e+00 3.686386e+06
1.715197e+00 2.132872e+06
1.716620e+00 2.131717e+06
1.718045e+00 2.147909e+06
1.719470e+00 2.129456e+06
1.720897e+00 2.127630e+06
1.722325e+00 2.125467e+06
1.723754e+00 2.121164e+06
1.725184e+00 2.122505e+06
1.726616e+00 2.117599e+06
1.728048e+00 2.115304e+06
1.729482e+00 2.111851e+06
1.730917e+00 2.112358e+06
1.732353e+00 2.109702e+06
1.733791e+00 2.108631e+06
1.735230e+00 2.108689e+06
1.736669e+00 2.103858e+06
1.738110e+00 2.103608e+06
1.739553e+00 2.101743e+06
1.740996e+00 2.098321e+06
1.742440e+00 2.097076e+06
1.743886e+00 2.095561e+06
1.745333e+00 2.091560e+06
1.746781e+00 2.090449e+06
1.748231e+00 2.090805e+06
1.749681e+00 2.087089e+06
1.751133e+00 2.084174e+06
1.752586e+00 2.081710e+06
1.754040e+00 2.080601e+06
1.755496e+00 2.077397e+06
1.756952e+00 2.076566e+06
1.758410e+00 2.075435e+06
1.759869e+00 2.073447e+06
1.761330e+00 2.070972e+06
1.762791e+00 2.069043e+06
1.764254e+00 2.064663e+06
1.765718e+00 2.064932e+06
1.767183e+00 2.063557e+06
1.768649e+00 2.060208e+06
1.770117e+00 2.060686e+06
1.771585e+00 2.059255e+06
1.773055e+00 2.054614e+06
1.774526e+00 2.052218e+06
1.775999e+00 2.050608e+06
1.777473e+00 2.049731e+06
1.778947e+00 2.047449e+06
1.780423e+00 2.041814e+06
1.781901e+00 2.042815e+06
1.783379e+00 2.037616e+06
1.784859e+00 2.038027e+06
1.786340e+00 2.035370e+06
1.787822e+00 2.037178e+06
1.789306e+00 2.034287e+06
1.790790e+00 2.031542e+06
1.792276e+00 2.028925e+06
1.793763e+00 2.026458e+06
1.795252e+00 2.028701e+06
1.796741e+00 2.022025e+06
1.798232e+00 2.019046e+06
1.799724e+00 2.020375e+06
1.801218e+00 2.055793e+06
1.802712e+00 2.017243e+06
1.804208e+00 2.014020e+06
1.805705e+00 2.013455e+06
1.807203e+00 2.009325e+06
1.808703e+00 2.040754e+06
1.810204e+00 2.005915e+06
1.811706e+00 2.004298e+06
1.813209e+00 2.005009e+06
1.814713e+00 2.010996e+06
1.816219e+00 2.001053e+06
1.817726e+00 1.995684e+06
1.819234e+00 1.994691e+06
1.820744e+00 1.993009e+06
1.822255e+00 1.990919e+06
1.823767e+00 1.986379e+06
1.825280e+00 1.987342e+06
1.826795e+00 1.982975e+06
1.828310e+00 1.984804e+06
1.829827e+00 1.982576e+06
1.831346e+00 1.977468e+06
1.832865e+00 1.977057e+06
1.834386e+00 1.974723e+06
1.835908e+00 1.973020e+06
1.837431e+00 1.971288e+06
1.838956e+00 1.967696e+06
1.840482e+00 1.967534e+06
1.842009e+00 1.966168e+06
1.843537e+00 1.962828e+06
1.845067e+00 1.960909e+06
1.846598e+00 1.960086e+06
1.848130e+00 1.957575e+06
1.849664e+00 1.958277e+06
1.851199e+00 1.956568e+06
1.852735e+00 1.949739e+06
1.854272e+00 1.950064e+06
1.855810e+00 1.948365e+06
1.857350e+00 1.945083e+06
1.858891e+00 1.945216e+06
1.860434e+00 1.943084e+06
1.861978e+00 1.942420e+06
1.863522e+00 1.940961e+06
1.865069e+00 1.935926e+06
1.866616e+00 1.937676e+06
1.868165e+00 1.934527e+06
1.869715e+00 1.934320e+06
1.871267e+00 1.929708e+06
1.872819e+00 1.929010e+06
1.874373e+00 1.927137e+06
1.875929e+00 1.925137e+06
1.877485e+00 1.922444e+06
1.879043e+00 1.922269e+06
1.880602e+00 1.920221e+06
1.882162e+00 1.918642e+06
1.883724e+00 1.915871e+06
1.885287e+00 1.913463e+06
1.886852e+00 1.913308e+06
1.888417e+00 1.910017e+06
1.889984e+00 1.909502e+06
1.891552e+00 1.905076e+06
1.893122e+00 1.906826e+06
1.894693e+00 1.902917e+06
1.896265e+00 1.902235e+06
1.897838e+00 1.899049e+06
1.899413e+00 1.898279e+06
1.900989e+00 1.895917e+06
1.902566e+00 1.893875e+06
1.904145e+00 1.891107e+06
1.905725e+00 1.891381e+06
1.907306e+00 1.889494e+06
1.908889e+00 1.885158e+06
1.910473e+00 1.884825e+06
1.912058e+00 1.882601e+06
1.913644e+00 1.880973e+06
1.915232e+00 1.881701e+06
1.916821e+00 1.877304e+06
1.918412e+00 1.874758e+06
1.920004e+00 1.873267e+06
1.921597e+00 1.874079e+06
1.923191e+00 1.869694e+06
1.924787e+00 1.867853e+06
1.926384e+00 1.865119e+06
1.927982e+00 1.866604e+06
1.929582e+00 1.862897e+06
1.931183e+00 1.863173e+06
1.932786e+00 1.860030e+06
1.934389e+00 1.856701e+06
1.935994e+00 1.856171e+06
1.937601e+00 1.855070e+06
1.939209e+00 1.851370e+06
1.940818e+00 1.851177e+06
1.942428e+00 1.851777e+06
1.944040e+00 1.844785e+06
1.945653e+00 1.844194e+06
1.947267e+00 1.843667e+06
1.948883e+00 1.842769e+06
1.950500e+00 1.838463e+06
1.952118e+00 1.839442e+06
1.953738e+00 1.836603e+06
1.955359e+00 1.838563e+06
1.956982e+00 1.833326e+06
1.958606e+00 1.831240e+06
1.960231e+00 1.828218e+06
1.961857e+00 1.829018e+06
1.963485e+00 1.828406e+06
1.965114e+00 1.826415e+06
1.966745e+00 1.824752e+06
1.968377e+00 1.822042e+06
1.970010e+00 1.819019e+06
1.971645e+00 1.818897e+06
1.973281e+00 1.813185e+06
1.974918e+00 1.815486e+06
1.976557e+00 1.812084e+06
1.978197e+00 1.811005e+06
1.979838e+00 1.810919e+06
1.981481e+00 1.807323e+06
1.983125e+00 1.805708e+06
1.984770e+00 1.804344e+06
1.986417e+00 1.801821e+06
1.988066e+00 1.798951e+06
1.989715e+00 1.799557e+06
1.991366e+00 1.798420e+06
1.993018e+00 1.792895e+06
1.994672e+00 1.793035e+06
1.996327e+00 1.791907e+06
1.997984e+00 1.790149e+06
1.999642e+00 1.792232e+06
2.001301e+00 1.787683e+06
2.002961e+00 1.785932e+06
2.004623e+00 1.780469e+06
2.006287e+00 1.784550e+06
2.007951e+00 1.779383e+06
2.009617e+00 1.777906e+06
2.011285e+00 1.778081e+06
2.012954e+00 1.775429e+06
2.014624e+00 1.773334e+06
2.016296e+00 1.772544e+06
2.017969e+00 1.770387e+06
2.019643e+00 1.771747e+06
2.021319e+00 1.768833e+06
2.022996e+00 1.762385e+06
2.024675e+00 1.762433e+06
2.026355e+00 1.760890e+06
2.028036e+00 1.760248e+06
2.029719e+00 1.756767e+06
2.031403e+00 1.756206e+06
2.033088e+00 1.754454e+06
2.034775e+00 1.751444e+06
2.036464e+00 1.751987e+06
2.038153e+00 1.751613e+06
2.039845e+00 1.745974e+06
2.041537e+00 1.744295e+06
2.043231e+00 1.743301e+06
2.044927e+00 1.742863e+06
2.046623e+00 1.742599e+06
2.048322e+00 1.738663e+06
2.050021e+00 1.739307e+06
2.051722e+00 1.736495e+06
2.053425e+00 1.735906e+06
2.055128e+00 1.734116e+06
2.056834e+00 1.732775e+06
2.058540e+00 1.730297e+06
